sequence,param,risk
"['human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.10102360602836598, 1.1996514156650315, 1.1046988159444564]",2.2670296662418403
"['human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.05674737402884278, 0.9836535051089587, 1.2265662155690715]",1.941543909767221
"['human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.002006922444328929, 0.8768923368970729, 1.4152606368164857]",1.7862798153998165
"['human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.16417375062376416, 0.8936731837958821, 1.0099956531120904]",1.8631951485218576
"['human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.09329301559872089, 0.9630655451843828, 1.451032150205814]",1.894132317065112
"['human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.048369831663364365, 0.84549237091232, 1.1291783530159565]",1.6066684827224884
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.1966409588284272, 0.8252354722808874, 1.3100839809683422]",0.9060055865394014
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.04911794630369867, 1.064337268644733, 1.1692192935735701]",1.6705045952241155
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.07652022864238889, 0.9990322139960288, 1.3248606827736316]",0.9337170398128058
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.160549984001864, 1.0326146179687758, 1.0710689895105232]",0.969735714306796
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.17425060111368942, 1.1784205735846305, 1.244333415112718]",1.8139673918516415
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.1224584008806712, 1.1784177299151197, 1.2894808927784234]",1.8226827586960497
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.09157658393492207, 1.152383874193242, 1.1428266151149573]",0.8844540746916092
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.057321304514886234, 1.1512306017462013, 1.0674878662761291]",0.876384102869709
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.10571811974439588, 0.8390465960854531, 1.3450906288392344]",0.8752776610073537
