sequence,param,risk
"['human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.02020357408450474, 1.060637189089105, 1.3943616755677566]",0.7485238823002075
"['human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.16245616529030604, 0.8113389906088025, 1.4178825519599347]",0.7510754093276568
"['human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.02689317283797865, 1.1049120329831768, 1.0010530266755553]",0.6990044648409044
"['human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.021845122378079423, 1.088616012936313, 1.1143811106352264]",0.713520902225713
"['human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.17810827822156894, 1.1605709830445934, 1.0152949915167768]",0.7008545367223222
"['human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.18982165560261569, 1.0165649891173987, 1.4695745813892553]",0.7565317081848837
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.04751830492471504, 0.8866397588522453, 1.2110582877913587]",0.8939639312249448
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.18838368497005284, 0.8886766665092141, 1.218943796825286]",0.8949064493441737
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.0016751034472597404, 0.8932337801030291, 1.1154332707704921]",0.8834369077918995
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.11248758506492457, 0.9838413862950934, 1.1448908072952428]",0.8866307488820535
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.19140411789363646, 1.1350311902650292, 1.2782271613262166]",0.8694349285907247
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.05691774517297821, 0.8743625063578871, 1.4962717060880326]",0.9289005925826296
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.14397861151811597, 0.8483559839223226, 1.1663475926800646]",0.8546436492280794
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.08859376303330735, 1.084476707878112, 1.46822029339973]",0.914154125831852
