sequence,param,risk
"['initial', 'human_transition', 'human_transition', 'human_mount_cover', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_reach_parts']","[0, 1, 1]",0
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition', 'human_transition', 'human_transition', 'human_reach_parts']","[0.17505430218318419, 0.8909963795828182, 1.2594246634088624]",0.7394011611227881
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition']","[0.16263940339073985, 1.1533569639906243, 1.0990999708408224]",0.8937163795301096
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand']","[-0.05126674044155255, 1.0681018686678927, 1.302489361839572]",0.8027098939728123
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_reach_parts']","[-0.0744727989625667, 1.01804362559445, 1.4806800609254651]",0
"['initial', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition']","[0.0632701137503906, 1.0855061568859625, 1.038803391077639]",0.8922891214465478
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'human_retract_hand']","[0.0887150143095023, 1.1854196068970169, 1.3750659407393364]",1.8449059889038746
"['initial', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_reach_parts']","[0.09890324905475201, 1.0416010124056616, 1.166570819071044]",0.9069983519000091
"['initial', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'human_retract_hand', 'human_transition', 'human_transition', 'human_press_button', 'human_retract_hand']","[-0.06028701545724405, 1.178149617364666, 1.474775246480289]",0.9955605825421504
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_mount_cover', 'human_retract_hand', 'human_transition', 'human_reach_parts']","[-0.067936892988461, 0.9049700878740351, 1.2779721937836959]",0
