sequence,param,risk
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.23903875922092213, 1.5655624940082877, 1.742980151874866]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.5026843930247411, 1.2839163568097396, 1.912936418039611]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.21530632273438388, 1.5291560091939604, 1.8637001091773535]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.27297584439628686, 1.2858155537196343, 1.6384275435408169]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.232816987559817, 1.363167873733133, 1.833572298725761]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.5074020255816137, 1.2946394657466591, 1.9434681557457552]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.24203199031713263, 1.2691479687744454, 1.6088580893501268]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.3554487571664392, 1.2646066721616909, 1.6920133966958109]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.3235095118251146, 1.5627312367752715, 1.954535224720775]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.5087906624702843, 1.4900602129434042, 1.7219672051956278]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.27622871111408587, 1.5260983864416489, 1.947078566394362]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.2582875376004104, 1.2793049143763213, 1.536989052352122]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.28130539998982784, 1.508438593608491, 1.7900945821278467]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.2861641886699182, 1.4916301270443288, 1.9970616789875089]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.22206048914667595, 1.5393530027464635, 1.6269401725802948]",1.937030669158376
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.4317763046655736, 1.5387232848250536, 1.5417098848423583]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.41553035568308705, 1.4562872527471298, 1.962674665648116]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.438727607788479, 1.3531720235864657, 1.6900697725511495]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.4180958123587536, 1.2986120393667262, 1.7683551222803806]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.3393315322567917, 1.2595380572981059, 1.8466011087412277]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.5751581650181257, 1.58267438303446, 1.991789478879086]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.31374261908301915, 1.424431809465736, 1.7811147763211541]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.3966556152053628, 1.2372418083852013, 1.5456498734081758]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.4294076073259394, 1.4997842331195863, 1.5209990125373638]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.27217951412288566, 1.519732799802187, 1.6354779359351146]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.35628054905421147, 1.2000086585462553, 1.594615904519752]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.21351595978571078, 1.3258090957438042, 1.8429179447890967]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.5662577004721538, 1.5091625822134191, 1.9328499493240707]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.44383261258282247, 1.382269295191692, 1.8660017229339063]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.5381493260547401, 1.4832842999171942, 1.8855621613879623]",0.9328453716260168
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.356647500124086, 1.3670122441008892, 1.6733515117456754]",0.8693703344185049
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.5934782581515499, 1.2272498754410517, 1.5499169044629453]",0.8693703344185049
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.5789962002691287, 1.571738225202891, 1.9563044065656015]",0.8693703344185049
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.49235306280825264, 1.2293765856759455, 1.7717473159630401]",0.8693703344185049
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.38627949506297043, 1.366918745782486, 1.8635568418150306]",0.8693703344185049
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.2510230482042808, 1.5315406784490782, 1.9830820514226444]",0.8693703344185049
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.549916272176707, 1.3131974188145998, 1.8031377641635769]",0.8693703344185049
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.4597245383357292, 1.5968167768791282, 1.8957396886884565]",0.8693703344185049
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.2574558112603968, 1.5908123924114377, 1.6855516196026024]",0.8693703344185049
"['human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'collision']","[0.4343005149693214, 1.5285581000038602, 1.636785715565714]",0.8693703344185049
